ID_UNI;PROV;BANDO;FORMA_GIU;Ambito;T
60-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;EVENTI, ALTRO;T_SETT
61-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, SPETTAC;T_GIOVAN
62-Ora! 2016;Altra provincia ligure;Ora! 2016;Ente locale;ARTI_VIS, AUDIOVIS, PATRIMON, SPETTAC, WEB;
63-Ora! 2016;Torino;Ora! 2016;Associazione;APP_SOFT, ARTI_VIS, SPAZI;T_GIOVAN
64-Ora! 2016;Torino;Ora! 2016;Associazione;EDITORIA, SPETTAC;
65-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, CONCORSO, SPETTAC, WEB;
66-Ora! 2016;Altra provincia piemontese;Ora! 2016;Associazione;AUDIOVIS, SPETTAC;
67-Ora! 2016;Altra provincia italiana;Ora! 2016;Altro;SPETTAC;
68-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;AUDIOVIS, SPETTAC;
69-Ora! 2016;Torino;Ora! 2016;Associazione;SPETTAC;
70-Ora! 2016;Cuneo;Ora! 2016;Ente locale;AUDIOVIS, INT_SOC;
71-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, WEB;T_SETT
72-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARTI_VIS, FESTIVAL, PATRIMON, SPETTAC;
73-Ora! 2016;Torino;Ora! 2016;Ente locale;ARTI_VIS, TURISMO;
74-Ora! 2016;Altra provincia italiana;Ora! 2016;Impresa sociale;APP_SOFT, ARTI_VIS, AUDIOVIS, TURISMO;
75-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;AUDIOVIS;
76-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, COMMUNIT, DESIGN, DID_FORM, SPETTAC;T_SETT
77-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, DESIGN, EVENTI, SPETTAC;T_SETT
78-Ora! 2016;Torino;Ora! 2016;Altro;AUDIOVIS, SPETTAC;T_GIOVAN
79-Ora! 2016;Torino;Ora! 2016;Associazione;ARTIGIAN, DESIGN;T_SETT
80-Ora! 2016;Genova;Ora! 2016;Altro;EDITORIA, SPETTAC;
81-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, EVENTI, SPETTAC, WEB;
82-Ora! 2016;Altra provincia ligure;Ora! 2016;Associazione;APP_SOFT, ARTI_VIS, AUDIOVIS, DESIGN, PATRIMON, WEB;
83-Ora! 2016;Torino;Ora! 2016;Altro;AUDIOVIS, WEB;T_GIOVAN
84-Ora! 2016;Torino;Ora! 2016;Associazione;SPETTAC;T_ALTRO
85-Ora! 2016;Cuneo;Ora! 2016;Cooperativa;AUDIOVIS, SOC_NET, SPETTAC, WEB;T_GIOVAN
86-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;AUDIOVIS, CONCORSO, SPETTAC, WEB;T_SETT
87-Ora! 2016;Altra provincia italiana;Ora! 2016;Cooperativa;AUDIOVIS, PATRIMON;T_GIOVAN
88-Ora! 2016;Genova;Ora! 2016;Cooperativa;ARTI_VIS, ARTIGIAN;
89-Ora! 2016;Novara;Ora! 2016;Associazione;AUDIOVIS, FESTIVAL, SPETTAC;T_GIOVAN, T_ADULTI, T_SETT
90-Ora! 2016;Torino;Ora! 2016;Associazione;INT_SOC, SPETTAC;
91-Ora! 2016;Novara;Ora! 2016;Altro;AUDIOVIS, SPETTAC, WEB;
92-Ora! 2016;Altra provincia italiana;Ora! 2016;Fondazione;AUDIOVIS, PATRIMON, SPETTAC, WEB;T_GIOVAN, T_SETT
93-Ora! 2016;Torino;Ora! 2016;Altro;SPETTAC;
94-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;APP_SOFT, SOC_NET, SPETTAC;T_SETT
95-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;SPETTAC, SPORT;
96-Ora! 2016;Torino;Ora! 2016;Altro;AUDIOVIS, SPETTAC;
97-Ora! 2016;Torino;Ora! 2016;Fondazione;ARCH_BIB, ARCHITET, ARTI_VIS, AUDIOVIS, DESIGN;T_SETT
98-Ora! 2016;Torino;Ora! 2016;Associazione;EVENTI, SPETTAC;
99-Ora! 2016;Cuneo;Ora! 2016;Associazione;AUDIOVIS, EVENTI, SPETTAC;T_GIOVAN
100-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS;T_GIOVAN
101-Ora! 2016;Altra provincia italiana;Ora! 2016;Altro;ARTI_VIS, AUDIOVIS, CONCORSO, EDITORIA, FESTIVAL, SPETTAC, WEB;T_SETT
102-Ora! 2016;Torino;Ora! 2016;Associazione;APP_SOFT, ARTI_VIS, CONCORSO, DID_FORM, SPORT, ALTRO;T_SETT
103-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, FESTIVAL;T_GIOVAN
104-Ora! 2016;Alessandria;Ora! 2016;Associazione;DID_FORM, SPETTAC;
105-Ora! 2016;Altra provincia ligure;Ora! 2016;Ente locale;EDITORIA, FESTIVAL, SPETTAC;T_SETT
106-Ora! 2016;Genova;Ora! 2016;Altro;APP_SOFT, ARTI_VIS, AUDIOVIS, EDITORIA, SPETTAC;
107-Ora! 2016;Cuneo;Ora! 2016;Associazione;APP_SOFT, AUDIOVIS, SPETTAC, TURISMO, WEB;
108-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, EDITORIA, SPETTAC, WEB;T_SETT, T_DV_AB
109-Ora! 2016;Novara;Ora! 2016;Associazione;EDITORIA, SPETTAC;
110-Ora! 2016;Torino;Ora! 2016;Associazione;ARCH_BIB, ARTI_VIS, AUDIOVIS, SPETTAC;
111-Ora! 2016;Genova;Ora! 2016;Cooperativa;ARTI_VIS, AUDIOVIS, EDITORIA, SPETTAC;T_ALTRO
112-Ora! 2016;Torino;Ora! 2016;Associazione;ARCH_BIB, ARCHITET, AUDIOVIS, SPETTAC;T_SETT
113-Ora! 2016;Torino;Ora! 2016;Associazione;APP_SOFT, ARCHITET, ARTI_VIS, SPETTAC;
114-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, CONCORSO, EDITORIA, SPETTAC;T_SETT
115-Ora! 2016;Altra provincia italiana;Ora! 2016;Altro;ARTI_VIS, DID_FORM, EDITORIA, EVENTI;
116-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, DID_FORM, SPETTAC;
117-Ora! 2016;Torino;Ora! 2016;Associazione;SPETTAC;
118-Ora! 2016;Torino;Ora! 2016;Ente locale;EVENTI, TURISMO;
119-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, EVENTI, SPETTAC;
120-Ora! 2016;Altra provincia italiana;Ora! 2016;Impresa sociale;APP_SOFT, ARTI_VIS, AUDIOVIS, FESTIVAL, SPETTAC;
121-Ora! 2016;Altra provincia piemontese;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, FESTIVAL, SPETTAC;
122-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARCHITET, AUDIOVIS, SPETTAC, WEB;
123-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, WEB;
124-Ora! 2016;Cuneo;Ora! 2016;Ente locale;ARTI_VIS, AUDIOVIS;T_GIOVAN, T_ANZIAN
125-Ora! 2016;Altra provincia italiana;Ora! 2016;Istruzione, università e ricerca;;
126-Ora! 2016;Genova;Ora! 2016;Ente locale;CONCORSO, DID_FORM, SPETTAC;T_SETT
127-Ora! 2016;Genova;Ora! 2016;Associazione;AUDIOVIS, CONCORSO, SPETTAC;T_GIOVAN, T_SETT
128-Ora! 2016;Torino;Ora! 2016;Fondazione;ARTI_VIS, CONCORSO, DID_FORM, SPETTAC;T_GIOVAN
129-Ora! 2016;Torino;Ora! 2016;Ente locale;AUDIOVIS, CONCORSO, FESTIVAL;T_SETT
130-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, INT_SOC, SOC_NET, SPETTAC;T_GIOVAN, T_SETT
131-Ora! 2016;Altra provincia piemontese;Ora! 2016;Associazione;ARTI_VIS, ARTIGIAN, AUDIOVIS, DESIGN, PATRIMON, WEB;
132-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, SPETTAC;
133-Ora! 2016;Torino;Ora! 2016;Altro;DID_FORM, EVENTI, SPAZI, SPETTAC;
134-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;DID_FORM, SPETTAC;
135-Ora! 2016;Alessandria;Ora! 2016;Associazione;ARTI_VIS, DID_FORM, EDITORIA, SPETTAC;T_SETT
136-Ora! 2016;Torino;Ora! 2016;Associazione;SPETTAC;
137-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, EDITORIA, EVENTI, SPETTAC;
138-Ora! 2016;Altra provincia italiana;Ora! 2016;Cooperativa;AUDIOVIS, SPETTAC;
139-Ora! 2016;Altra provincia italiana;Ora! 2016;Fondazione;ARTI_VIS, AUDIOVIS, SPETTAC, WEB;
140-Ora! 2016;Altra provincia italiana;Ora! 2016;Cooperativa;ARTI_VIS, AUDIOVIS, DESIGN, SPETTAC, WEB;
141-Ora! 2016;Altra provincia italiana;Ora! 2016;Cooperativa;AUDIOVIS, SPETTAC;
142-Ora! 2016;Torino;Ora! 2016;Associazione;APP_SOFT, ARTI_VIS, AUDIOVIS, CONCORSO, SOC_NET, WEB;
143-Ora! 2016;Novara;Ora! 2016;Associazione;ARCHITET, ARTI_VIS, AUDIOVIS, DESIGN;T_SETT
144-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;SPETTAC;
145-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, SPETTAC;
146-Ora! 2016;Genova;Ora! 2016;Associazione;AUDIOVIS, SPETTAC;T_GIOVAN, T_SETT
147-Ora! 2016;Torino;Ora! 2016;Altro;ARTI_VIS, AUDIOVIS, SPETTAC;T_GIOVAN
148-Ora! 2016;Genova;Ora! 2016;Associazione;ARTI_VIS, EDITORIA, EVENTI, SPETTAC;T_SETT
149-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, EDITORIA, EVENTI, WEB;T_SETT
150-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, CONCORSO, DID_FORM, EVENTI;T_SETT
151-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, SPETTAC;
152-Ora! 2016;Torino;Ora! 2016;Associazione;APP_SOFT, ARTI_VIS, AUDIOVIS, EDITORIA, SPETTAC;T_GIOVAN
153-Ora! 2016;Torino;Ora! 2016;Altro;AUDIOVIS, SPETTAC;
154-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, EVENTI;T_GIOVAN, T_SETT
155-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;SPETTAC;
156-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, EDITORIA, SPETTAC;
157-Ora! 2016;Genova;Ora! 2016;Associazione;SPETTAC;T_DV_AB
158-Ora! 2016;Genova;Ora! 2016;Associazione;ARTI_VIS, DID_FORM;T_SETT
159-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;APP_SOFT, DID_FORM, PATRIMON;
160-Ora! 2016;Genova;Ora! 2016;Associazione;AUDIOVIS, EVENTI;
161-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;AUDIOVIS, SPETTAC;
162-Ora! 2016;Torino;Ora! 2016;Associazione;APP_SOFT, AUDIOVIS;
163-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, SPETTAC;
164-Ora! 2016;Cuneo;Ora! 2016;Cooperativa;AUDIOVIS;T_GIOVAN
165-Ora! 2016;Torino;Ora! 2016;Associazione;APP_SOFT, AUDIOVIS, SPETTAC, WEB;
166-Ora! 2016;Altra provincia italiana;Ora! 2016;Cooperativa;ARTI_VIS, AUDIOVIS, SPETTAC;
167-Ora! 2016;Altra provincia piemontese;Ora! 2016;Associazione;DESIGN, SPETTAC, WEB;
168-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, FESTIVAL;
169-Ora! 2016;Altra provincia italiana;Ora! 2016;Fondazione;SPETTAC;
170-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, SPAZI;
171-Ora! 2016;Altra provincia ligure;Ora! 2016;Associazione;APP_SOFT, EDITORIA;
172-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, SPETTAC, ALTRO;T_SETT
173-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, ARTIGIAN, AUDIOVIS;
174-Ora! 2016;Altra provincia italiana;Ora! 2016;Cooperativa;AUDIOVIS, SPETTAC;
175-Ora! 2016;Cuneo;Ora! 2016;Associazione;SPETTAC;T_SETT
176-Ora! 2016;Torino;Ora! 2016;Associazione;APP_SOFT, AUDIOVIS, PATRIMON;
177-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS;T_GIOVAN
178-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;APP_SOFT, DID_FORM;
179-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;SPETTAC;T_GIOVAN
180-Ora! 2016;Torino;Ora! 2016;Altro;AUDIOVIS, CONCORSO, SPETTAC;T_GIOVAN, T_ADULTI
181-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, EDITORIA, PATRIMON, SPETTAC;
182-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, CONCORSO, EDITORIA, SPETTAC;T_GIOVAN, T_SETT
183-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;AUDIOVIS, EVENTI, SPETTAC, WEB;T_GIOVAN, T_ADULTI
184-Ora! 2016;Genova;Ora! 2016;Associazione;ARCHITET, ARTI_VIS, AUDIOVIS, DESIGN, FESTIVAL;
185-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;APP_SOFT, AUDIOVIS, COMMUNIT, SOC_NET;
186-Ora! 2016;Torino;Ora! 2016;Associazione;APP_SOFT, AUDIOVIS, EVENTI, SPETTAC;T_GIOVAN
187-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARCHITET, ARTI_VIS, AUDIOVIS, EVENTI;
188-Ora! 2016;Genova;Ora! 2016;Associazione;APP_SOFT, SPETTAC;
189-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARTI_VIS, SPETTAC;T_GIOVAN
190-Ora! 2016;Genova;Ora! 2016;Istruzione, università e ricerca;ARCHITET, ARTI_VIS;
191-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, WEB;
192-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, SPETTAC;T_SETT
193-Ora! 2016;Genova;Ora! 2016;Istruzione, università e ricerca;ARTI_VIS, ARTIGIAN, ENOGASTR, SPETTAC;
194-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARTI_VIS, SPETTAC, WEB;
195-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, ARTIGIAN, CONCORSO, DID_FORM, EVENTI;T_GIOVAN, T_SETT
196-Ora! 2016;Altra provincia piemontese;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, DID_FORM, SPETTAC;
197-Ora! 2016;Torino;Ora! 2016;Associazione;ARCH_BIB, AUDIOVIS, SPETTAC;
198-Ora! 2016;Torino;Ora! 2016;Associazione;DID_FORM, SPETTAC;T_GIOVAN
199-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARTI_VIS, DID_FORM, SPAZI, SPETTAC;
200-Ora! 2016;Altra provincia italiana;Ora! 2016;Altro;AUDIOVIS, SPETTAC;
201-Ora! 2016;Torino;Ora! 2016;Altro;ARTI_VIS, SPETTAC;T_SETT
202-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, SPAZI, SPETTAC;
203-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS;
204-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, SPETTAC, WEB;
205-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, EVENTI;
206-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, DID_FORM, FESTIVAL, SPETTAC;T_SETT
207-Ora! 2016;Torino;Ora! 2016;Associazione;APP_SOFT, AUDIOVIS, SPETTAC;T_GIOVAN, T_SETT
208-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;SPETTAC, SPORT;T_SETT
209-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, DESIGN, EDITORIA, SPETTAC;
210-Ora! 2016;Torino;Ora! 2016;Fondazione;ARTI_VIS, AUDIOVIS, DID_FORM, SPETTAC;T_SETT
211-Ora! 2016;Torino;Ora! 2016;Associazione;APP_SOFT, PATRIMON, SOC_NET, SPAZI, SPETTAC, WEB;
212-Ora! 2016;Altra provincia ligure;Ora! 2016;Cooperativa;AUDIOVIS, SPETTAC;
213-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, SPETTAC;T_GIOVAN
214-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ALTRO;T_SETT
215-Ora! 2016;Genova;Ora! 2016;Associazione;AUDIOVIS, SPETTAC;T_GIOVAN
216-Ora! 2016;Torino;Ora! 2016;Altro;ARTI_VIS, AUDIOVIS, SPETTAC;
217-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, SPETTAC;T_SETT
218-Ora! 2016;Torino;Ora! 2016;Altro;AUDIOVIS, DID_FORM, SPETTAC;T_SETT
219-Ora! 2016;Genova;Ora! 2016;Istruzione, università e ricerca;ARCH_BIB, ARCHITET, WEB;
220-Ora! 2016;Torino;Ora! 2016;Associazione;APP_SOFT, AUDIOVIS, EDITORIA, SOC_NET;T_GIOVAN
221-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;WEB, ALTRO;T_SETT
222-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, SPETTAC;
223-Ora! 2016;Genova;Ora! 2016;Associazione;AUDIOVIS, INT_SOC, SPETTAC;T_GIOVAN, T_SETT
224-Ora! 2016;Cuneo;Ora! 2016;Associazione;SPETTAC;T_GIOVAN
225-Ora! 2016;Altra provincia piemontese;Ora! 2016;Associazione;ARTI_VIS, ARTIGIAN, AUDIOVIS, SPETTAC;
226-Ora! 2016;Torino;Ora! 2016;Cooperativa;DID_FORM, EVENTI, SOC_NET;
227-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, SPETTAC;
228-Ora! 2016;Genova;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, SPETTAC;
229-Ora! 2016;Torino;Ora! 2016;Associazione;EDITORIA;T_GIOVAN
230-Ora! 2016;Torino;Ora! 2016;Associazione;APP_SOFT, AUDIOVIS, EDITORIA, EVENTI, SPETTAC;
231-Ora! 2016;Genova;Ora! 2016;Associazione;ARTI_VIS, FESTIVAL, SPETTAC, ALTRO;T_SETT
232-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, DID_FORM;T_GIOVAN
233-Ora! 2016;Alessandria;Ora! 2016;Ente locale;ARTI_VIS, AUDIOVIS, SPETTAC;
234-Ora! 2016;Torino;Ora! 2016;Associazione;AUDIOVIS, DID_FORM;T_GIOVAN, T_SETT
235-Ora! 2016;Torino;Ora! 2016;Associazione;ARCHITET, ARTI_VIS, AUDIOVIS, PATRIMON, WEB;
236-Ora! 2016;Novara;Ora! 2016;Fondazione;APP_SOFT, ARTI_VIS, PATRIMON, WEB;
237-Ora! 2016;Cuneo;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, SPETTAC, WEB;T_SETT
238-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, CONCORSO, EVENTI;T_GIOVAN
239-Ora! 2016;Altra provincia ligure;Ora! 2016;Associazione;CONCORSO, EVENTI, FESTIVAL, SPETTAC;
240-Ora! 2016;Cuneo;Ora! 2016;Associazione;ARTI_VIS, CONCORSO, DESIGN, SPAZI;T_SETT
241-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;AUDIOVIS, EDITORIA, SPETTAC;
242-Ora! 2016;Torino;Ora! 2016;Cooperativa;AUDIOVIS, TURISMO;
243-Ora! 2016;Torino;Ora! 2016;Associazione;SPETTAC, ALTRO;T_SETT
244-Ora! 2016;Torino;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS, SOC_NET;
245-Ora! 2016;Altra provincia piemontese;Ora! 2016;Ente locale;ARTI_VIS, AUDIOVIS, CONCORSO, DID_FORM, EDITORIA, EVENTI, FESTIVAL, SPETTAC;T_GIOVAN, T_SETT
246-Ora! 2016;Torino;Ora! 2016;Ente locale;AUDIOVIS, ENOGASTR, SPETTAC;
247-Ora! 2016;Torino;Ora! 2016;Associazione;SPETTAC;
248-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARTI_VIS;
249-Ora! 2016;Altra provincia italiana;Ora! 2016;Associazione;ARTI_VIS, AUDIOVIS;
